,Latitude,Longitude,NumMosquitos,WnvPresent,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,CULEX PIPIENS,CULEX PIPIENS/RESTUANS,CULEX RESTUANS,CULEX SALINARIUS,CULEX TARSALIS,CULEX TERRITANS,year,month,day
0,41.95469,-87.800991,1,0,88,60,74,58,65.0,0,9,421,1917,0.0,29.39,30.11,5.8,18,6.5,0,1,0,0,0,0,2007,5,29
1,41.95469,-87.800991,1,0,88,60,74,58,65.0,0,9,421,1917,0.0,29.39,30.11,5.8,18,6.5,0,0,1,0,0,0,2007,5,29
2,41.994991,-87.769279,1,0,88,60,74,58,65.0,0,9,421,1917,0.0,29.39,30.11,5.8,18,6.5,0,0,1,0,0,0,2007,5,29
3,41.974089,-87.824812,1,0,88,60,74,58,65.0,0,9,421,1917,0.0,29.39,30.11,5.8,18,6.5,0,1,0,0,0,0,2007,5,29
4,41.974089,-87.824812,4,0,88,60,74,58,65.0,0,9,421,1917,0.0,29.39,30.11,5.8,18,6.5,0,0,1,0,0,0,2007,5,29
5,41.9216,-87.666455,2,0,88,65,77,59,66.0,0,12,421,1917,0.0,29.44,30.09,5.8,16,7.4,0,0,1,0,0,0,2007,5,29
6,41.891118,-87.654491,1,0,88,65,77,59,66.0,0,12,421,1917,0.0,29.44,30.09,5.8,16,7.4,0,0,1,0,0,0,2007,5,29
7,41.867108,-87.654224,1,0,88,65,77,59,66.0,0,12,421,1917,0.0,29.44,30.09,5.8,16,7.4,0,1,0,0,0,0,2007,5,29
8,41.867108,-87.654224,2,0,88,65,77,59,66.0,0,12,421,1917,0.0,29.44,30.09,5.8,16,7.4,0,0,1,0,0,0,2007,5,29
9,41.896282,-87.655232,1,0,88,65,77,59,66.0,0,12,421,1917,0.0,29.44,30.09,5.8,16,7.4,0,0,1,0,0,0,2007,5,29
10,41.919343,-87.694259,1,0,88,65,77,59,66.0,0,12,421,1917,0.0,29.44,30.09,5.8,16,7.4,0,1,0,0,0,0,2007,5,29
11,41.921965,-87.632085,2,0,88,65,77,59,66.0,0,12,421,1917,0.0,29.44,30.09,5.8,16,7.4,0,1,0,0,0,0,2007,5,29
12,41.921965,-87.632085,3,0,88,65,77,59,66.0,0,12,421,1917,0.0,29.44,30.09,5.8,16,7.4,0,0,1,0,0,0,2007,5,29
13,41.688324,-87.676709,1,0,88,65,77,59,66.0,0,12,421,1917,0.0,29.44,30.09,5.8,16,7.4,0,1,0,0,0,0,2007,5,29
14,41.688324,-87.676709,1,0,88,65,77,59,66.0,0,12,421,1917,0.0,29.44,30.09,5.8,16,7.4,0,0,1,0,0,0,2007,5,29
15,41.862292,-87.64886,1,0,88,65,77,59,66.0,0,12,421,1917,0.0,29.44,30.09,5.8,16,7.4,0,0,1,0,0,0,2007,5,29
16,41.720848,-87.666014,3,0,88,65,77,59,66.0,0,12,421,1917,0.0,29.44,30.09,5.8,16,7.4,0,0,1,0,0,0,2007,5,29
17,41.731922,-87.677512,5,0,88,65,77,59,66.0,0,12,421,1917,0.0,29.44,30.09,5.8,16,7.4,0,0,1,0,0,0,2007,5,29
18,41.731922,-87.677512,1,0,88,65,77,59,66.0,0,12,421,1917,0.0,29.44,30.09,5.8,16,7.4,1,0,0,0,0,0,2007,5,29
19,41.891126,-87.61156,1,0,88,65,77,59,66.0,0,12,421,1917,0.0,29.44,30.09,5.8,16,7.4,0,1,0,0,0,0,2007,5,29
20,41.891126,-87.61156,2,0,88,65,77,59,66.0,0,12,421,1917,0.0,29.44,30.09,5.8,16,7.4,0,0,1,0,0,0,2007,5,29
21,41.999129,-87.795585,1,0,88,60,74,58,65.0,0,9,421,1917,0.0,29.39,30.11,5.8,18,6.5,0,1,0,0,0,0,2007,5,29
22,42.01743,-87.687769,1,0,88,60,74,58,65.0,0,9,421,1917,0.0,29.39,30.11,5.8,18,6.5,0,1,0,0,0,0,2007,5,29
23,41.907645,-87.760886,1,0,88,65,77,59,66.0,0,12,421,1917,0.0,29.44,30.09,5.8,16,7.4,0,0,1,0,0,0,2007,5,29
24,41.732984,-87.649642,1,0,88,65,77,59,66.0,0,12,421,1917,0.0,29.44,30.09,5.8,16,7.4,0,0,1,0,0,0,2007,5,29
25,41.95469,-87.800991,3,0,64,47,56,48,51.0,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6,0,1,0,0,0,0,2007,6,5
26,41.95469,-87.800991,5,0,64,47,56,48,51.0,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6,0,0,1,0,0,0,2007,6,5
27,41.95469,-87.800991,1,0,64,47,56,48,51.0,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6,1,0,0,0,0,0,2007,6,5
28,41.974089,-87.824812,1,0,64,47,56,48,51.0,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6,0,1,0,0,0,0,2007,6,5
29,41.974089,-87.824812,2,0,64,47,56,48,51.0,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6,0,0,1,0,0,0,2007,6,5
30,41.9216,-87.666455,1,0,63,51,57,47,52.0,8,0,417,1923,0.27,29.16,29.78,6.2,3,8.1,0,1,0,0,0,0,2007,6,5
31,41.9216,-87.666455,2,0,63,51,57,47,52.0,8,0,417,1923,0.27,29.16,29.78,6.2,3,8.1,0,0,1,0,0,0,2007,6,5
32,41.9216,-87.666455,1,0,63,51,57,47,52.0,8,0,417,1923,0.27,29.16,29.78,6.2,3,8.1,1,0,0,0,0,0,2007,6,5
33,41.891118,-87.654491,1,0,63,51,57,47,52.0,8,0,417,1923,0.27,29.16,29.78,6.2,3,8.1,0,0,1,0,0,0,2007,6,5
34,41.867108,-87.654224,1,0,63,51,57,47,52.0,8,0,417,1923,0.27,29.16,29.78,6.2,3,8.1,0,1,0,0,0,0,2007,6,5
35,41.867108,-87.654224,1,0,63,51,57,47,52.0,8,0,417,1923,0.27,29.16,29.78,6.2,3,8.1,0,0,1,0,0,0,2007,6,5
36,41.867108,-87.654224,2,0,63,51,57,47,52.0,8,0,417,1923,0.27,29.16,29.78,6.2,3,8.1,1,0,0,0,0,0,2007,6,5
37,41.896282,-87.655232,2,0,63,51,57,47,52.0,8,0,417,1923,0.27,29.16,29.78,6.2,3,8.1,0,0,1,0,0,0,2007,6,5
38,41.919343,-87.694259,1,0,63,51,57,47,52.0,8,0,417,1923,0.27,29.16,29.78,6.2,3,8.1,0,1,0,0,0,0,2007,6,5
39,41.919343,-87.694259,1,0,63,51,57,47,52.0,8,0,417,1923,0.27,29.16,29.78,6.2,3,8.1,0,0,1,0,0,0,2007,6,5
40,41.921965,-87.632085,3,0,63,51,57,47,52.0,8,0,417,1923,0.27,29.16,29.78,6.2,3,8.1,0,0,1,0,0,0,2007,6,5
41,41.688324,-87.676709,4,0,63,51,57,47,52.0,8,0,417,1923,0.27,29.16,29.78,6.2,3,8.1,0,0,1,0,0,0,2007,6,5
42,41.720848,-87.666014,2,0,63,51,57,47,52.0,8,0,417,1923,0.27,29.16,29.78,6.2,3,8.1,0,1,0,0,0,0,2007,6,5
43,41.731922,-87.677512,1,0,63,51,57,47,52.0,8,0,417,1923,0.27,29.16,29.78,6.2,3,8.1,0,1,0,0,0,0,2007,6,5
44,41.731922,-87.677512,1,0,63,51,57,47,52.0,8,0,417,1923,0.27,29.16,29.78,6.2,3,8.1,0,0,1,0,0,0,2007,6,5
45,41.731922,-87.677512,1,0,63,51,57,47,52.0,8,0,417,1923,0.27,29.16,29.78,6.2,3,8.1,1,0,0,0,0,0,2007,6,5
46,41.999129,-87.795585,2,0,64,47,56,48,51.0,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6,0,1,0,0,0,0,2007,6,5
47,41.999129,-87.795585,9,0,64,47,56,48,51.0,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6,0,0,1,0,0,0,2007,6,5
48,41.907645,-87.760886,3,0,63,51,57,47,52.0,8,0,417,1923,0.27,29.16,29.78,6.2,3,8.1,0,0,1,0,0,0,2007,6,5
