,Date,Species,Latitude,Longitude,NumMosquitos,WnvPresent,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Water1,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
0,2007-05-29,CULEX PIPIENS/RESTUANS,41.95469,-87.800991,1,0,88,60,74,58,65.0,0,9,421,1917,BR HZ,M,0.0,29.39,30.11,5.8,18,6.5
1,2007-05-29,CULEX RESTUANS,41.95469,-87.800991,1,0,88,60,74,58,65.0,0,9,421,1917,BR HZ,M,0.0,29.39,30.11,5.8,18,6.5
2,2007-05-29,CULEX RESTUANS,41.994991,-87.769279,1,0,88,60,74,58,65.0,0,9,421,1917,BR HZ,M,0.0,29.39,30.11,5.8,18,6.5
3,2007-05-29,CULEX PIPIENS/RESTUANS,41.974089,-87.824812,1,0,88,60,74,58,65.0,0,9,421,1917,BR HZ,M,0.0,29.39,30.11,5.8,18,6.5
4,2007-05-29,CULEX RESTUANS,41.974089,-87.824812,4,0,88,60,74,58,65.0,0,9,421,1917,BR HZ,M,0.0,29.39,30.11,5.8,18,6.5
5,2007-05-29,CULEX RESTUANS,41.9216,-87.666455,2,0,88,65,77,59,66.0,0,12,421,1917,BR HZ,M,0.0,29.44,30.09,5.8,16,7.4
6,2007-05-29,CULEX RESTUANS,41.891118,-87.654491,1,0,88,65,77,59,66.0,0,12,421,1917,BR HZ,M,0.0,29.44,30.09,5.8,16,7.4
7,2007-05-29,CULEX PIPIENS/RESTUANS,41.867108,-87.654224,1,0,88,65,77,59,66.0,0,12,421,1917,BR HZ,M,0.0,29.44,30.09,5.8,16,7.4
8,2007-05-29,CULEX RESTUANS,41.867108,-87.654224,2,0,88,65,77,59,66.0,0,12,421,1917,BR HZ,M,0.0,29.44,30.09,5.8,16,7.4
9,2007-05-29,CULEX RESTUANS,41.896282,-87.655232,1,0,88,65,77,59,66.0,0,12,421,1917,BR HZ,M,0.0,29.44,30.09,5.8,16,7.4
10,2007-05-29,CULEX PIPIENS/RESTUANS,41.919343,-87.694259,1,0,88,65,77,59,66.0,0,12,421,1917,BR HZ,M,0.0,29.44,30.09,5.8,16,7.4
11,2007-05-29,CULEX PIPIENS/RESTUANS,41.921965,-87.632085,2,0,88,65,77,59,66.0,0,12,421,1917,BR HZ,M,0.0,29.44,30.09,5.8,16,7.4
12,2007-05-29,CULEX RESTUANS,41.921965,-87.632085,3,0,88,65,77,59,66.0,0,12,421,1917,BR HZ,M,0.0,29.44,30.09,5.8,16,7.4
13,2007-05-29,CULEX PIPIENS/RESTUANS,41.688324,-87.676709,1,0,88,65,77,59,66.0,0,12,421,1917,BR HZ,M,0.0,29.44,30.09,5.8,16,7.4
14,2007-05-29,CULEX RESTUANS,41.688324,-87.676709,1,0,88,65,77,59,66.0,0,12,421,1917,BR HZ,M,0.0,29.44,30.09,5.8,16,7.4
